refno,PCON11CD,Constituency,Estimated Leave proportion,Known result,Figure to use,Notes,Region,Errors,
145,E14000633,Chichester,0.5064288139,NA,0.5064288139,,South East,#VALUE!,
524,E14000956,"Southampton, Test",0.5065283649,NA,0.5065283649,,South East,#VALUE!,
18,E14000534,Arundel and South Downs,0.5068538363,NA,0.5068538363,,South East,#VALUE!,
311,E14000745,Hertsmere,0.5083652561,0.5083652561,0.5083652561,,East of England,0,
453,E14000880,"Plymouth, Sutton and Devonport",0.5086210498,0.5440523532,0.5440523532,,South West,0.03543130336,
350,E14000776,Lancaster and Fleetwood,0.509139906,NA,0.509139906,,North West,#VALUE!,
489,E14000910,Saffron Walden,0.5092493593,NA,0.5092493593,,East of England,#VALUE!,
647,W07000041,Ynys Môn,0.5094200416,0.5094200416,0.5094200416,,Wales,0,
519,E14000932,Somerton and Frome,0.5096199022,NA,0.5096199022,,South West,#VALUE!,
200,E14001031,West Dorset,0.5099666169,NA,0.5099666169,,South West,#VALUE!,
157,E14000644,Colchester,0.5106418001,NA,0.5106418001,,East of England,#VALUE!,
322,E14000756,Huddersfield,0.5108125048,NA,0.5108125048,,Yorkshire and The Humber,#VALUE!,
424,E14000941,South Norfolk,0.5110654367,NA,0.5110654367,,East of England,#VALUE!,
543,E14000977,Stratford-on-Avon,0.5116542882,NA,0.5116542882,,West Midlands,#VALUE!,
188,E14000623,Central Devon,0.5117887205,NA,0.5117887205,,South West,#VALUE!,
604,E14001021,Watford,0.5118404276,NA,0.5118404276,,East of England,#VALUE!,
556,E14000984,Sutton and Cheam,0.5126743332,NA,0.5126743332,,London,#VALUE!,
183,E14000664,Derbyshire Dales,0.5128574119,NA,0.5128574119,,East Midlands,#VALUE!,
68,E14000571,Blackley and Broughton,0.5133290917,NA,0.5133290917,,North West,#VALUE!,
309,E14000845,North East Hertfordshire,0.5137693409,NA,0.5137693409,,East of England,#VALUE!,
301,E14000738,Hazel Grove,0.5142438573,NA,0.5142438573,,North West,#VALUE!,
187,E14000665,Devizes,0.5146439081,NA,0.5146439081,,South West,#VALUE!,
561,E14000947,South Swindon,0.5157444245,NA,0.5157444245,,South West,#VALUE!,
358,E14000784,Leicester West,0.516656347,NA,0.516656347,,East Midlands,#VALUE!,
89,W07000068,Brecon and Radnorshire,0.5172431786,NA,0.5172431786,,Wales,#VALUE!,
116,E14000614,Calder Valley,0.5174351392,NA,0.5174351392,,Yorkshire and The Humber,#VALUE!,
56,E14000559,Birkenhead,0.5183463344,0.517076065,0.5183463344,See http://www.wirralglobe.co.uk/news/14582313.Detailed_breakdown_of_how_Wirral_voted_in_Referendum___The_poorer_the_area__the_bigger_its_Leave_vote_/,North West,-0.001270269418,
553,E14000983,Surrey Heath,0.5199617565,NA,0.5199617565,,South East,#VALUE!,
22,E14000538,Aylesbury,0.5210161337,NA,0.5210161337,,South East,#VALUE!,
518,E14000846,North East Somerset,0.5211688115,NA,0.5211688115,,South West,#VALUE!,
227,E14000686,Eddisbury,0.5223282163,NA,0.5223282163,,North West,#VALUE!,
291,E14000728,Harborough,0.5224663693,NA,0.5224663693,,East Midlands,#VALUE!,
42,E14000813,Mid Bedfordshire,0.522609586,NA,0.522609586,,East of England,#VALUE!,
147,E14000635,Chippenham,0.5232609827,NA,0.5232609827,,South West,#VALUE!,
589,W07000078,Vale of Glamorgan,0.5234642603,NA,0.5234642603,,Wales,#VALUE!,
107,E14000607,Broxtowe,0.5241484493,NA,0.5241484493,,East Midlands,#VALUE!,
346,E14000775,Knowsley,0.5243938607,NA,0.5243938607,,North West,#VALUE!,
155,W07000059,Clwyd West,0.5253250436,NA,0.5253250436,,Wales,#VALUE!,
184,E14000814,Mid Derbyshire,0.5253309968,NA,0.5253309968,,East Midlands,#VALUE!,
610,E14001027,Welwyn Hatfield,0.5253524015,NA,0.5253524015,,East of England,#VALUE!,
606,E14001023,Wealden,0.5254627488,NA,0.5254627488,,South East,#VALUE!,
328,E14000759,Ilford North,0.5256689865,NA,0.5256689865,,London,#VALUE!,
635,E14001035,West Worcestershire,0.5258070914,NA,0.5258070914,,West Midlands,#VALUE!,
573,E14000997,Tonbridge and Malling,0.5258550506,NA,0.5258550506,,South East,#VALUE!,
159,E14000646,Congleton,0.5265409394,NA,0.5265409394,,North West,#VALUE!,
429,E14000942,South Northamptonshire,0.5267258407,NA,0.5267258407,,East Midlands,#VALUE!,
465,E14000890,Reading West,0.5267668701,NA,0.5267668701,,South East,#VALUE!,
236,E14000690,Eltham,0.5277965599,NA,0.5277965599,,London,#VALUE!,
564,E14000988,Taunton Deane,0.5292471057,0.5292471057,0.5292471057,,South West,0,
391,E14000811,Meon Valley,0.5292889116,NA,0.5292889116,,South East,#VALUE!,
398,E14000822,Milton Keynes South,0.5296084999,NA,0.5296084999,,South East,#VALUE!,
592,E14001010,Wallasey,0.5300155788,0.499231196,0.5300155788,See http://www.wirralglobe.co.uk/news/14582313.Detailed_breakdown_of_how_Wirral_voted_in_Referendum___The_poorer_the_area__the_bigger_its_Leave_vote_/,North West,-0.03078438283,
495,E14000911,Salford and Eccles,0.5300531387,NA,0.5300531387,,North West,#VALUE!,
418,W07000056,Newport West,0.5300677103,NA,0.5300677103,,Wales,#VALUE!,
510,E14000926,Shrewsbury and Atcham,0.5301679598,NA,0.5301679598,,West Midlands,#VALUE!,
